,Year,Mon,tmax,tmin
3954,1981,11,8.3,-0.3
3955,1981,11,9.7,-0.8
3956,1981,11,11.8,2.2
3957,1981,12,5.9,-2.6
3958,1981,12,2.0,-4.2
3959,1981,12,8.4,-0.5
3960,1981,12,10.7,-2.5
3961,1981,12,10.5,0.1
3962,1981,12,9.1,0.3
3963,1981,12,8.5,1.2
3964,1981,12,10.7,0.1
3965,1981,12,11.3,0.5
3966,1981,12,10.8,0.1
3967,1981,12,11.4,-0.1
3968,1981,12,11.3,2.4
3969,1981,12,6.0,-0.1
3970,1981,12,4.2,-0.6
3971,1981,12,5.5,-2.0
3972,1981,12,6.2,-2.2
3973,1981,12,10.5,-0.2
3974,1981,12,7.8,1.0
3975,1981,12,4.7,-1.3
3976,1981,12,7.7,0.8
3977,1981,12,9.5,0.9
3978,1981,12,11.6,0.3
3979,1981,12,9.5,0.9
3980,1981,12,7.2,-3.1
3981,1981,12,8.6,-2.7
3982,1981,12,11.5,1.4
3983,1981,12,13.9,-0.5
3984,1981,12,12.6,0.2
3985,1981,12,10.4,-1.0
3986,1981,12,6.9,-2.7
3987,1981,12,6.6,-1.5
3988,1982,1,5.9,-1.8
3989,1982,1,6.8,-3.4
3990,1982,1,9.8,0.1
3991,1982,1,10.6,3.2
3992,1982,1,7.2,-0.6
3993,1982,1,5.7,-2.9
3994,1982,1,5.2,-4.1
3995,1982,1,7.3,-5.5
3996,1982,1,10.3,0.5
3997,1982,1,9.4,-3.2
3998,1982,1,14.9,1.1
3999,1982,1,5.9,-4.9
4000,1982,1,2.6,-7.7
4001,1982,1,2.8,-4.8
4002,1982,1,7.0,-5.2
4003,1982,1,0.6,-4.1
4004,1982,1,2.4,-7.0
4005,1982,1,2.3,-3.4
4006,1982,1,1.0,-3.8
4007,1982,1,4.3,-2.5
4008,1982,1,8.6,-1.5
4009,1982,1,5.5,-0.3
4010,1982,1,7.5,-0.8
4011,1982,1,7.0,3.0
4012,1982,1,7.6,-0.5
4013,1982,1,6.8,-0.8
4014,1982,1,3.1,-2.4
4015,1982,1,-2.1,-5.3
4016,1982,1,-0.9,-6.7
4017,1982,1,2.9,-5.0
4018,1982,1,1.3,-2.8
4019,1982,2,5.9,-2.5
4020,1982,2,5.5,-2.8
4021,1982,2,3.0,-0.8
4022,1982,2,4.3,-0.8
4023,1982,2,2.3,-2.9
4024,1982,2,2.7,-4.2
4025,1982,2,1.1,-5.2
4026,1982,2,3.4,-4.0
4027,1982,2,6.4,-5.4
4028,1982,2,4.9,-3.5
4029,1982,2,5.0,-2.5
